1607319603.19 job-0_4km/ 0.789%	job-0_8km/ 0.837%	job-1_2km/ 0.827%	job-2km/ 0.843%	job-1_6km/ 0.831%	job-5i/ 0.796%	job-7i/ 0.738%	
1607319663.22 job-0_4km/ 0.980%	job-0_8km/ 1.053%	job-1_2km/ 1.062%	job-2km/ 1.020%	job-1_6km/ 1.035%	job-5i/ 1.035%	job-7i/ 0.875%	
1607319723.28 job-0_4km/ 1.237%	job-0_8km/ 1.247%	job-1_2km/ 1.246%	job-2km/ 1.234%	job-1_6km/ 1.254%	job-5i/ 1.194%	job-7i/ 0.996%	
1607319783.34 job-0_4km/ 1.426%	job-0_8km/ 1.496%	job-1_2km/ 1.481%	job-2km/ 1.398%	job-1_6km/ 1.425%	job-5i/ 1.355%	job-7i/ 1.156%	
1607319843.37 job-0_4km/ 1.637%	job-0_8km/ 1.679%	job-1_2km/ 1.707%	job-2km/ 1.578%	job-1_6km/ 1.596%	job-5i/ 1.556%	job-7i/ 1.306%	
1607319903.43 job-0_4km/ 1.838%	job-0_8km/ 1.888%	job-1_2km/ 1.941%	job-2km/ 1.745%	job-1_6km/ 1.844%	job-5i/ 1.701%	job-7i/ 1.418%	
1607319963.49 job-0_4km/ 2.024%	job-0_8km/ 2.108%	job-1_2km/ 2.122%	job-2km/ 1.973%	job-1_6km/ 2.013%	job-5i/ 1.881%	job-7i/ 1.545%	
1607320023.55 job-0_4km/ 2.257%	job-0_8km/ 2.274%	job-1_2km/ 2.338%	job-2km/ 2.173%	job-1_6km/ 2.210%	job-5i/ 2.044%	job-7i/ 1.633%	
1607320083.6 job-0_4km/ 2.479%	job-0_8km/ 2.482%	job-1_2km/ 2.527%	job-2km/ 2.336%	job-1_6km/ 2.388%	job-5i/ 2.198%	job-7i/ 1.743%	
1607320143.65 job-0_4km/ 2.715%	job-0_8km/ 2.702%	job-1_2km/ 2.732%	job-2km/ 2.519%	job-1_6km/ 2.583%	job-5i/ 2.395%	job-7i/ 1.854%	
1607320203.72 job-0_4km/ 2.921%	job-0_8km/ 2.897%	job-1_2km/ 2.926%	job-2km/ 2.716%	job-1_6km/ 2.794%	job-5i/ 2.546%	job-7i/ 1.942%	
1607320263.78 job-0_4km/ 3.121%	job-0_8km/ 3.108%	job-1_2km/ 3.124%	job-2km/ 2.944%	job-1_6km/ 3.005%	job-5i/ 2.697%	job-7i/ 2.052%	
1607320323.83 job-0_4km/ 3.287%	job-0_8km/ 3.276%	job-1_2km/ 3.267%	job-2km/ 3.093%	job-1_6km/ 3.226%	job-5i/ 2.880%	job-7i/ 2.145%	
1607320383.85 job-0_4km/ 3.486%	job-0_8km/ 3.495%	job-1_2km/ 3.493%	job-2km/ 3.285%	job-1_6km/ 3.415%	job-5i/ 3.017%	job-7i/ 2.304%	
1607320443.86 job-0_4km/ 3.662%	job-0_8km/ 3.660%	job-1_2km/ 3.670%	job-2km/ 3.453%	job-1_6km/ 3.617%	job-5i/ 3.151%	job-7i/ 2.429%	
1607320503.9 job-0_4km/ 3.867%	job-0_8km/ 3.860%	job-1_2km/ 3.854%	job-2km/ 3.668%	job-1_6km/ 3.787%	job-5i/ 3.307%	job-7i/ 2.603%	
1607320563.96 job-0_4km/ 4.030%	job-0_8km/ 4.045%	job-1_2km/ 4.014%	job-2km/ 3.871%	job-1_6km/ 3.971%	job-5i/ 3.421%	job-7i/ 2.731%	
1607320624.02 job-0_4km/ 4.207%	job-0_8km/ 4.205%	job-1_2km/ 4.166%	job-2km/ 4.041%	job-1_6km/ 4.124%	job-5i/ 3.550%	job-7i/ 2.876%	
1607320684.04 job-0_4km/ 4.370%	job-0_8km/ 4.368%	job-1_2km/ 4.295%	job-2km/ 4.200%	job-1_6km/ 4.275%	job-5i/ 3.699%	job-7i/ 2.997%	
1607320744.05 job-0_4km/ 4.551%	job-0_8km/ 4.534%	job-1_2km/ 4.454%	job-2km/ 4.367%	job-1_6km/ 4.431%	job-5i/ 3.827%	job-7i/ 3.140%	
1607320804.06 job-0_4km/ 4.696%	job-0_8km/ 4.695%	job-1_2km/ 4.622%	job-2km/ 4.547%	job-1_6km/ 4.636%	job-5i/ 3.944%	job-7i/ 3.229%	
1607320864.11 job-0_4km/ 4.851%	job-0_8km/ 4.891%	job-1_2km/ 4.777%	job-2km/ 4.684%	job-1_6km/ 4.793%	job-5i/ 4.123%	job-7i/ 3.371%	
1607320924.17 job-0_4km/ 5.011%	job-0_8km/ 5.068%	job-1_2km/ 4.945%	job-2km/ 4.829%	job-1_6km/ 4.932%	job-5i/ 4.265%	job-7i/ 3.478%	
1607320984.23 job-0_4km/ 5.211%	job-0_8km/ 5.225%	job-1_2km/ 5.062%	job-2km/ 4.973%	job-1_6km/ 5.074%	job-5i/ 4.404%	job-7i/ 3.626%	
1607321044.29 job-0_4km/ 5.353%	job-0_8km/ 5.402%	job-1_2km/ 5.219%	job-2km/ 5.140%	job-1_6km/ 5.208%	job-5i/ 4.602%	job-7i/ 3.726%	
1607321104.35 job-0_4km/ 5.513%	job-0_8km/ 5.557%	job-1_2km/ 5.377%	job-2km/ 5.308%	job-1_6km/ 5.341%	job-5i/ 4.751%	job-7i/ 3.867%	
1607321164.41 job-0_4km/ 5.698%	job-0_8km/ 5.717%	job-1_2km/ 5.528%	job-2km/ 5.466%	job-1_6km/ 5.498%	job-5i/ 4.874%	job-7i/ 3.979%	
1607321224.47 job-0_4km/ 5.866%	job-0_8km/ 5.847%	job-1_2km/ 5.668%	job-2km/ 5.618%	job-1_6km/ 5.651%	job-5i/ 5.067%	job-7i/ 4.104%	
1607321284.53 job-0_4km/ 6.019%	job-0_8km/ 5.995%	job-1_2km/ 5.825%	job-2km/ 5.749%	job-1_6km/ 5.808%	job-5i/ 5.228%	job-7i/ 4.276%	
1607321344.59 job-0_4km/ 6.175%	job-0_8km/ 6.156%	job-1_2km/ 5.987%	job-2km/ 5.892%	job-1_6km/ 5.951%	job-5i/ 5.387%	job-7i/ 4.389%	
1607321404.65 job-0_4km/ 6.333%	job-0_8km/ 6.319%	job-1_2km/ 6.132%	job-2km/ 6.032%	job-1_6km/ 6.104%	job-5i/ 5.558%	job-7i/ 4.551%	
1607321464.71 job-0_4km/ 6.521%	job-0_8km/ 6.461%	job-1_2km/ 6.293%	job-2km/ 6.187%	job-1_6km/ 6.214%	job-5i/ 5.718%	job-7i/ 4.694%	
